UpTrend,NoTrend,DownTrend,Trend,Time
0,0,1,-1,1406577600
0,0,1,-1,1406581200
0,0,1,-1,1406584800
0,1,0,0,1406588400
0,1,0,0,1406592000
0,1,0,0,1406595600
0,1,0,0,1406599200
0,1,0,0,1406602800
0,0,1,-1,1406606400
0,1,0,0,1406610000
0,1,0,0,1406613600
0,1,0,0,1406617200
0,1,0,0,1406620800
0,0,1,-1,1406624400
0,0,1,-1,1406628000
0,0,1,-1,1406631600
0,1,0,0,1406635200
0,1,0,0,1406638800
1,0,0,1,1406642400
1,0,0,1,1406646000
1,0,0,1,1406649600
1,0,0,1,1406653200
1,0,0,1,1406656800
1,0,0,1,1406660400
1,0,0,1,1406664000
1,0,0,1,1406667600
1,0,0,1,1406671200
1,0,0,1,1406674800
1,0,0,1,1406678400
1,0,0,1,1406682000
1,0,0,1,1406685600
1,0,0,1,1406689200
1,0,0,1,1406692800
1,0,0,1,1406696400
1,0,0,1,1406700000
1,0,0,1,1406703600
1,0,0,1,1406707200
1,0,0,1,1406710800
0,1,0,0,1406714400
0,1,0,0,1406718000
1,0,0,1,1406721600
1,0,0,1,1406725200
0,1,0,0,1406728800
0,1,0,0,1406732400
0,1,0,0,1406736000
0,1,0,0,1406739600
0,1,0,0,1406743200
0,1,0,0,1406746800
0,1,0,0,1406750400
0,1,0,0,1406754000
0,1,0,0,1406757600
0,1,0,0,1406761200
0,1,0,0,1406764800
0,1,0,0,1406768400
0,1,0,0,1406772000
0,1,0,0,1406775600
0,1,0,0,1406779200
0,1,0,0,1406782800
0,1,0,0,1406786400
0,0,1,-1,1406790000
0,0,1,-1,1406793600
0,0,1,-1,1406797200
0,1,0,0,1406800800
0,1,0,0,1406804400
0,0,1,-1,1406808000
0,1,0,0,1406811600
0,1,0,0,1406815200
0,1,0,0,1406818800
0,1,0,0,1406822400
0,1,0,0,1406826000
0,1,0,0,1406829600
0,1,0,0,1406833200
0,1,0,0,1406836800
0,1,0,0,1406840400
0,1,0,0,1406844000
0,1,0,0,1406847600
0,1,0,0,1406851200
0,1,0,0,1406854800
0,1,0,0,1406858400
0,1,0,0,1406862000
0,1,0,0,1406865600
0,1,0,0,1406869200
0,1,0,0,1406872800
0,1,0,0,1406876400
0,0,1,-1,1406880000
0,0,1,-1,1406883600
0,0,1,-1,1406887200
0,0,1,-1,1406890800
0,0,1,-1,1406894400
0,0,1,-1,1406898000
0,0,1,-1,1406901600
0,0,1,-1,1406905200
0,0,1,-1,1406908800
0,0,1,-1,1406912400
0,0,1,-1,1406916000
0,0,1,-1,1406919600
0,0,1,-1,1406923200
0,0,1,-1,1407099600
0,0,1,-1,1407103200
0,0,1,-1,1407106800
0,0,1,-1,1407110400
0,0,1,-1,1407114000
0,0,1,-1,1407117600
0,0,1,-1,1407121200
0,0,1,-1,1407124800
0,1,0,0,1407128400
0,1,0,0,1407132000
0,1,0,0,1407135600
0,1,0,0,1407139200
0,1,0,0,1407142800
0,1,0,0,1407146400
0,1,0,0,1407150000
