UpTrend,NoTrend,DownTrend,Trend,Time
NA,NA,NA,NA,1406257200
NA,NA,NA,NA,1406257500
NA,NA,NA,NA,1406257800
NA,NA,NA,NA,1406258100
NA,NA,NA,NA,1406258400
NA,NA,NA,NA,1406258700
NA,NA,NA,NA,1406259000
NA,NA,NA,NA,1406259300
NA,NA,NA,NA,1406259600
NA,NA,NA,NA,1406259900
NA,NA,NA,NA,1406260200
NA,NA,NA,NA,1406260500
NA,NA,NA,NA,1406260800
NA,NA,NA,NA,1406261100
NA,NA,NA,NA,1406261400
NA,NA,NA,NA,1406261700
NA,NA,NA,NA,1406262000
NA,NA,NA,NA,1406262300
NA,NA,NA,NA,1406262600
NA,NA,NA,NA,1406262900
1,0,0,1,1406263200
0,1,0,0,1406263500
0,1,0,0,1406263800
0,1,0,0,1406264100
1,0,0,1,1406264400
1,0,0,1,1406264700
1,0,0,1,1406265000
1,0,0,1,1406265300
1,0,0,1,1406265600
1,0,0,1,1406265900
1,0,0,1,1406266200
1,0,0,1,1406266500
1,0,0,1,1406266800
1,0,0,1,1406267100
1,0,0,1,1406267400
1,0,0,1,1406267700
1,0,0,1,1406268000
1,0,0,1,1406268300
1,0,0,1,1406268600
1,0,0,1,1406268900
1,0,0,1,1406269200
0,1,0,0,1406269500
1,0,0,1,1406269800
1,0,0,1,1406270100
0,1,0,0,1406270400
0,1,0,0,1406270700
0,1,0,0,1406271000
0,0,1,-1,1406271300
0,1,0,0,1406271600
0,0,1,-1,1406271900
0,0,1,-1,1406272200
0,0,1,-1,1406272500
0,0,1,-1,1406272800
0,0,1,-1,1406273100
0,0,1,-1,1406273400
0,0,1,-1,1406273700
0,0,1,-1,1406274000
0,0,1,-1,1406274300
0,0,1,-1,1406274600
0,0,1,-1,1406274900
0,1,0,0,1406275200
0,1,0,0,1406275500
0,1,0,0,1406275800
0,1,0,0,1406276100
1,0,0,1,1406276400
0,1,0,0,1406276700
0,1,0,0,1406277000
1,0,0,1,1406277300
0,1,0,0,1406277600
0,0,1,-1,1406277900
0,0,1,-1,1406278200
0,0,1,-1,1406278500
0,0,1,-1,1406278800
0,0,1,-1,1406279100
0,1,0,0,1406279400
0,1,0,0,1406279700
0,1,0,0,1406280000
0,0,1,-1,1406280300
